time,X,Y,Z,dE,dN,dU,d3,n_sat
2004-05-03 23:10:30,-4362314998.089724,-5183589915.217686,14239323764.97366,-6774633173.852054,-32950529.789379597,14232469852.36281,15762612044.838457,6
2004-05-03 23:10:40,-1839978519.6746578,-1845045859.7463222,-19870642376.02037,-2597264698.384521,207154324.04855132,-19877496288.631218,20047532405.061584,6
2004-05-03 23:10:50,9943119800.514431,-9569348104.563278,-35869518971.25229,-852181014.690347,-13773580067.585943,-35876372883.86314,38438936661.43731,6
2004-05-03 23:11:00,-16487263634.850693,-7874414373.9485855,29190481186.68136,-16677168167.306034,7463362991.883488,29183627274.07051,34431291380.096306,6
2004-05-03 23:11:10,-7967609549.060176,-5233738258.304646,12727187311.412357,-9147656639.931862,2681717642.3830814,12720333398.801508,15895852078.206543,6
2004-05-03 23:11:20,-23141465016.79499,-22759907386.10701,90974958190.27332,-32328845839.037262,2893758599.0813255,90968104277.66246,96585320354.52213,6
2004-05-03 23:11:30,-5117949553.240833,-8004089826.107153,10684839492.436775,-9413137526.59424,-1283749517.9671164,10677985579.825926,14292464691.662804,6
2004-05-03 23:11:40,136291391.30933893,2852182621.714918,12051620262.086031,2261751252.2373257,1743240962.136997,12044766349.475182,12378643067.498114,6
2004-05-03 23:11:50,-375490515.66934204,22115949732.340965,-78107679616.37967,16608828274.974878,14608544103.391947,-78114533528.99052,81185855208.5284,6
2004-05-03 23:12:00,14030698486.407097,17724827828.14249,24105857450.09445,22592442480.062935,787668798.7758045,24099003537.483604,33042409882.621525,6
2004-05-03 23:12:10,-7112800010.644585,-2144819471.8299687,-35512877795.04646,-6240397446.541282,4030777536.8460364,-35519731707.65731,36288304843.65862,6
2004-05-03 23:12:20,3811294024.192733,-1936945958.3931072,-8610903040.079113,992509756.2886989,-4158489541.1534986,-8617756952.689962,9619971194.127739,6
2004-05-03 23:12:30,-343274659292.6682,-262175714316.45386,1383498714115.5,-422078013926.3032,91780071722.45926,1383491860202.8892,1449352668832.8838,6
2004-05-03 23:12:40,-431179513.9413471,-3541167153.6909294,-5016493679.794027,-2977319640.136297,-1964734329.5378952,-5023347592.404876,6161057884.756961,6
2004-05-03 23:12:50,-8278652248.604515,-5122767316.932144,41196231217.455315,-9264532779.70497,2990589911.647685,41189377304.84447,42324224723.043816,6
2004-05-03 23:13:00,-608314707.34834,-3581424032.4716377,-5734021401.519808,-3122708255.7909174,-1855832339.333259,-5740875314.130656,6793605073.515436,6
2004-05-03 23:13:10,-2456552469.3608646,-3327463874.5883694,8721749483.164116,-4126127475.89646,-283055032.9596126,8714895570.553267,9646473599.439352,6
2004-05-03 23:13:20,1331951000.0360966,-5969918081.034225,-46464858471.6133,-3686152757.9944587,-4881070367.688637,-46471712384.224144,46872514568.89901,6
2004-05-03 23:13:30,120572700.31894112,24923522.109026432,-7018187225.908636,97270785.32353221,-75732760.02047887,-7025041138.5194845,7026122689.969832,6
2004-05-03 23:13:40,582592034.4739189,-5301430042.973814,-18522177275.3098,-3662071171.8375874,-3877160414.8012056,-18529031187.920647,19281289762.68552,6
2004-05-03 23:13:50,109492052.26813701,-227991740.56379852,-1936055763.922178,-102620237.11480719,-231079114.99105746,-1942909676.5330267,1959292342.050114,5
2004-05-03 23:14:00,111944330.76141419,-233235812.45523083,-1957395346.0323164,-105027977.99970493,-236343784.3674088,-1964249258.643165,1981202768.6867487,5
2004-05-03 23:14:10,114256874.35965313,-238142481.6451188,-1975658634.8787727,-107269119.64505698,-241283475.10248733,-1982512547.4896214,2000020094.9842346,5
2004-05-03 23:14:20,116836842.39061233,-243511855.57277277,-1997679709.708607,-109689645.00079516,-246726587.11841816,-2004533622.3194556,2022637107.8422992,5
2004-05-03 23:14:30,119028311.35855253,-248048623.14077303,-2012590492.644855,-111727339.53347126,-251334471.36121392,-2019444405.2557037,2038089232.7894309,5
